<TICKER>,<PER>,<DATE>,<TIME>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB_TOM,D,20161021,000000,62.5975,62.22,62.37,2732872000
USDRUB_TOM,D,20161024,000000,62.42,62.12,62.1825,2844132000
USDRUB_TOM,D,20161025,000000,62.285,61.95,62.24,3344074000
USDRUB_TOM,D,20161026,000000,63.0075,62.185,62.91,4610003000
USDRUB_TOM,D,20161027,000000,63.25,62.57,62.7025,4133676000
USDRUB_TOM,D,20161028,000000,63.1475,62.77,63.02,2883912000
USDRUB_TOM,D,20161031,000000,63.4575,63.0725,63.375,2751039000
USDRUB_TOM,D,20161101,000000,63.3675,62.9025,63.32,2794716000
USDRUB_TOM,D,20161102,000000,63.85,63.33,63.515,3843010000
USDRUB_TOM,D,20161103,000000,63.82,63.4475,63.58,2845096000
USDRUB_TOM,D,20161107,000000,64.16,63.555,63.6325,3072355000
USDRUB_TOM,D,20161108,000000,63.8425,63.615,63.7625,2176650000
USDRUB_TOM,D,20161109,000000,64.1625,63.22,63.89,6283846000
USDRUB_TOM,D,20161110,000000,65.555,63.275,65.4725,6648909000
USDRUB_TOM,D,20161111,000000,66.3,64.85,65.72,5712336000
USDRUB_TOM,D,20161114,000000,66.495,65.5425,66.0325,4354905000
USDRUB_TOM,D,20161115,000000,66.0425,64.15,64.195,5147768000
USDRUB_TOM,D,20161116,000000,65.57,63.9975,64.7175,5639517000
USDRUB_TOM,D,20161117,000000,65.1,64.29,64.8,4587561000
USDRUB_TOM,D,20161118,000000,65.325,64.48,64.7025,4391759000
USDRUB_TOM,D,20161121,000000,64.6175,63.8725,63.91,3999500000
USDRUB_TOM,D,20161122,000000,64.13,63.465,63.7825,4709937000
USDRUB_TOM,D,20161123,000000,64.95,63.7075,64.4625,5508318000
USDRUB_TOM,D,20161124,000000,64.81,64.2825,64.485,2554443000
USDRUB_TOM,D,20161125,000000,64.9775,64.3025,64.95,3549101000
USDRUB_TOM,D,20161128,000000,65.22,64.5525,64.84,3834044000
USDRUB_TOM,D,20161129,000000,65.5,64.855,65.1125,3257246000
USDRUB_TOM,D,20161130,000000,65.3925,63.97,64.14,5677073000
USDRUB_TOM,D,20161201,000000,64.815,63.4975,63.98,4354783000
USDRUB_TOM,D,20161202,000000,64.35,63.75,63.88,2922864000
USDRUB_TOM,D,20161205,000000,64.115,63.5025,63.82,2988342000
USDRUB_TOM,D,20161206,000000,63.99,63.6525,63.8725,3213059000
USDRUB_TOM,D,20161207,000000,63.99,63.1375,63.2275,2677530000
USDRUB_TOM,D,20161208,000000,63.54,63.2475,63.28,2828716000
